acc_pp,nb_voe_pp_bt_brs,lien_form_psup,dep_lib,pct_bp_mention,nb_cla_pp,pct_bp,nb_voe_pp_bg_brs,acc_sansmention,nb_cla_pp_at,acc_pc,session,nb_cla_pc,nb_cla_pp_bt_brs,pct_sansmention,acc_tb,fili,cod_uai,fil_lib_voe_acc,pct_aca_orig_idf,nb_cla_pp_bg_brs,pct_bg,acc_bp_mention,acc_bg,pct_aca_orig,acad_mies,form_lib_voe_acc,region_etab_aff,pct_f,pct_acc_finpp,acc_b,pct_bt,pct_b,acc_neobac,nb_cla_pp_bp_brs,acc_bt,nb_voe_pp_at,acc_bp,acc_debutpp,acc_tot_f,acc_aca_orig_idf,pct_ab,acc_finpp,contrat_etab,nb_voe_pp,voe_tot,nb_voe_pp_bg,g_olocalisation_des_formations,pct_mention_nonrenseignee,nb_cla_pp_bp,acc_mention_nonrenseignee,nb_voe_pc_bt,nb_cla_pp_bt,nb_voe_pc,pct_bt_mention,pct_acc_debutpp,prop_tot,pct_neobac,pct_bours,nb_voe_pp_bt,nb_cla_pp_bg,nb_voe_pp_bp,tri,pct_tb,acc_brs,voe_tot_f,nb_voe_pp_bp_brs,nb_voe_pc_bp,nb_voe_pc_at,dep,acc_bt_mention,pct_bg_mention,acc_ab,acc_bg_mention,acc_datebac,nb_voe_pc_bg,capa_fin,acc_tot,g_ea_lib_vx,acc_at,pct_acc_datebac,acc_aca_orig,detail_forma,rang_der_max
77,30,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2099&g_ta_cod=2099,Aisne,8.0,191,9.33203125,43,40,27,19,2019,70,6,53.328125,3,DUT,0021964Z,Techniques de commercialisation,82.65625,17,60.0,6,45,82.65625,Amiens,DUT - Service,Hauts-de-France,47.953125,93.8775510204,8,30.6640625,10.666015625,75,3,23,76,7,53.0,47,62,32.0,92.0,Public,465,782,224,"[49.56, 3.6113]",0.0,8,0,61,39,317,16.0,54.0816326531,268,76.515625,24.0,147,117,18,1_universités,4.0,18,322,6,18,157,02,12,22.6640625,24,17,76.0,81,112,98,IUT de l'Aisne - Site de Laon,23,77.5510204082,62,,
30,10,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2102&g_ta_cod=2102,Aisne,0.0,301,0.0,24,18,52,11,2019,40,8,64.28125,1,DUT,0021998L,Génie mécanique et productique,60.7109375,19,60.7109375,0,17,60.7109375,Amiens,DUT - Production,Hauts-de-France,9.755859375,90.243902439,4,39.28125,14.28515625,28,0,11,60,0,6.0,4,17,14.28515625,37.0,Public,359,501,208,"[49.8367, 3.3001]",3.5712890625,2,1,16,64,142,17.85546875,14.6341463415,294,68.28125,3.5712890625,88,183,3,1_universités,3.5712890625,1,43,0,5,70,02,5,14.28515625,4,4,30.0,51,52,41,IUT de l'Aisne - Site de Saint-Quentin,13,73.1707317073,17,,
164,23,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2109&g_ta_cod=2109,Aisne,1.86328125,681,6.2109375,52,108,75,33,2019,72,23,67.078125,2,Licence,0022049S,Sciences et Techniques des Activités Physiques et Sportives,85.703125,52,60.2421875,3,97,85.703125,Amiens,Licence - Sciences - technologies - santé,Hauts-de-France,24.87109375,82.7411167513,11,33.5390625,6.83203125,161,9,54,75,10,48.0,49,138,24.22265625,163.0,Public,681,792,443,"[49.4029, 3.332]",0.62109375,35,1,17,128,111,14.28515625,24.3654822335,708,81.71875,13.04296875,128,443,35,1_universités,1.2421875,21,227,9,6,59,02,23,16.1484375,39,26,153.0,29,217,197,Université d'Amiens - Antenne de Soissons,36,77.6649746193,138,"EDUCATION ET MOTRICITE (SOISSONS, Portail STAPS)",680.0
56,13,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2167&g_ta_cod=2167,Alpes-de-Haute-Provence,0.0,707,0.0,43,19,158,0,2019,0,13,39.578125,3,DUT,0040522W,Génie biologique Option agronomie,47.9140625,39,75.0,0,36,47.9140625,Aix-Marseille,DUT - Production,Provence Alpes Côte d'Azur,60.7109375,98.2142857143,8,25.0,16.6640625,48,0,12,182,0,18.0,34,23,37.5,55.0,Public,756,756,489,"[44.097, 6.2391]",0.0,1,0,0,76,0,12.5,32.1428571429,218,85.703125,14.58203125,84,472,1,1_universités,6.25,7,444,0,0,0,04,6,47.9140625,18,23,46.0,0,56,56,I.U.T. d'Aix-Marseille - Site de Digne,8,82.1428571429,23,,
60,66,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2168&g_ta_cod=2168,Alpes-de-Haute-Provence,1.85180664062,1130,1.85180664062,89,25,152,0,2019,0,63,46.2890625,1,DUT,0040522W,Gestion administrative et commerciale des organisations,66.65625,85,53.703125,1,29,66.65625,Aix-Marseille,DUT - Service,Provence Alpes Côte d'Azur,45.8984375,88.5245901639,10,44.4375,18.515625,54,5,24,180,1,26.0,28,36,33.328125,54.0,Public,1206,1206,689,"[44.0968, 6.2391]",0.0,12,0,0,308,0,25.92578125,42.6229508197,508,88.515625,18.515625,316,658,21,1_universités,1.85180664062,10,665,7,0,0,04,14,25.92578125,18,14,46.0,0,60,61,I.U.T. d'Aix-Marseille - Site de Digne,7,75.4098360656,36,,
70,11,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2261&g_ta_cod=2261,Alpes-Maritimes,6.666015625,530,11.666015625,64,33,83,28,2019,55,11,55.0,4,Licence,0060931E,Arts du spectacle,71.65625,64,66.65625,4,40,71.65625,Nice,Licence - Arts-lettres-langues,Provence Alpes Côte d'Azur,70.40625,85.7142857143,7,21.6640625,11.666015625,60,7,13,84,7,21.0,69,43,25.0,84.0,Public,533,652,368,"[43.717405, 7.2674866]",1.66650390625,22,1,12,59,119,5.0,21.4285714286,480,61.21875,18.33203125,59,366,22,1_universités,6.666015625,11,456,7,6,81,06,3,31.6640625,15,19,68.0,20,135,98,Université de Nice Sophia Antipolis,38,69.387755102,43,,529.0
48,15,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2423&g_ta_cod=2423,Aube,0.0,299,0.0,28,29,46,12,2019,22,9,67.4375,1,DUT,0100684P,Génie électrique et informatique industrielle,67.4375,20,67.4375,0,29,67.4375,Reims,DUT - Production,Grand Est,6.666015625,96.6666666667,2,32.5546875,4.650390625,43,1,14,75,0,17.0,4,29,23.25390625,58.0,Public,405,511,234,"[48.2683, 4.0782]",2.3251953125,5,1,25,68,106,13.953125,28.3333333333,304,71.65625,20.9296875,85,180,11,1_universités,2.3251953125,9,42,2,4,56,10,6,16.27734375,10,7,47.0,21,80,60,Iut De Troyes,17,78.3333333333,29,,
89,188,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2472&g_ta_cod=2472,Aude,0.0,1100,0.0,226,19,128,0,2019,0,81,27.140625,1,DUT,0110983J,Carrières juridiques,54.28125,128,64.28125,0,45,54.28125,Montpellier,DUT - Service,Occitanie,80.890625,96.6292134831,19,35.7109375,27.140625,70,0,25,336,0,15.0,72,38,44.28125,86.0,Public,2136,2136,1047,"[43.1843, 3.003]",0.0,0,0,0,323,0,32.8515625,16.8539325843,412,78.640625,30.0,700,649,53,1_universités,1.42846679688,21,1659,20,0,0,11,23,40.0,31,28,79.0,0,84,89,I.U.T de Perpignan (Site de Narbonne),19,88.7640449438,38,,
80,68,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2497&g_ta_cod=2497,Aveyron,0.0,560,0.0,106,28,45,0,2019,0,29,38.3515625,4,DUT,0120870F,Gestion des entreprises et des administrations,90.40625,45,68.484375,0,50,90.40625,Toulouse,DUT - Service,Occitanie,54.3203125,98.7654320988,11,31.50390625,15.068359375,73,0,23,151,0,30.0,44,66,41.09375,80.0,Public,1105,1180,672,"[44.3604, 2.5758]",0.0,0,0,39,144,75,21.9140625,37.037037037,370,90.109375,13.697265625,272,371,10,1_universités,5.478515625,10,588,6,0,36,12,16,39.71875,30,29,74.0,0,80,81,I.U.T de Rodez,8,91.3580246914,66,,
61,75,https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2702&g_ta_cod=2702,Bouches-du-Rhône,1.81811523438,627,1.81811523438,96,20,77,0,2019,0,46,36.359375,0,DUT,0133479L,Réseaux et télécommunications,90.90625,67,50.90625,1,28,90.90625,Aix-Marseille,DUT - Production,Provence Alpes Côte d'Azur,9.8359375,93.4426229508,18,47.265625,32.7265625,55,3,26,174,1,34.0,6,50,30.90625,57.0,Public,980,980,484,"[43.2963, 5.3691804]",0.0,6,0,0,167,0,38.1796875,55.737704918,318,90.15625,23.6328125,277,377,45,1_universités,0.0,13,128,21,0,0,13,21,23.6328125,17,13,52.0,0,56,61,IUT Aix-Marseille - Site de Marseille,6,85.2459016393,50,Site de Luminy,
